iter	Logloss
117	0.2200211066
118	0.2199511929
119	0.2198516513
120	0.2197832739
121	0.2197013445
122	0.2196177004
123	0.219537513
124	0.2194631689
125	0.2194087413
126	0.2193197478
127	0.2192451979
128	0.2191727329
129	0.2191036696
130	0.2189966113
131	0.2189157929
132	0.2188455638
133	0.2187822478
134	0.2187193159
135	0.2186553827
136	0.2185821221
137	0.2185125377
138	0.2184679998
139	0.218359076
140	0.2182933596
141	0.218250454
142	0.2181890035
143	0.2181316131
144	0.2180722063
145	0.2180121549
146	0.2179282914
147	0.2178644679
148	0.2178044577
149	0.2177632941
150	0.2177141474
151	0.2176664272
152	0.2176131518
153	0.2175750196
154	0.217529837
155	0.2174763695
156	0.2174397187
157	0.2173913813
158	0.2173321254
159	0.2172920591
160	0.2172427067
161	0.2171860159
162	0.2171334812
163	0.2170920569
164	0.2170394125
165	0.2170101686
166	0.2169649312
167	0.2169251941
168	0.216882892
169	0.2168316878
170	0.2167894543
171	0.2167351502
172	0.216681573
173	0.2166395589
174	0.2166040054
175	0.2165559561
176	0.216487318
177	0.2164286383
178	0.2163901769
179	0.2163412633
180	0.2162915131
181	0.2162544233
182	0.2162018201
183	0.2161639484
184	0.2161233472
185	0.2160830066
186	0.2160470279
187	0.2159988139
188	0.2159612303
189	0.2158974343
190	0.2158609343
191	0.2158168765
192	0.2157795124
193	0.2157412704
194	0.2157078155
195	0.2156792301
196	0.2156446642
197	0.2156175875
198	0.215561267
199	0.2155190472
200	0.2154943162
201	0.2154723833
202	0.215429121
203	0.2153825668
204	0.2153398943
205	0.2153003081
206	0.2152700492
207	0.2152233029
208	0.2151876671
209	0.2151517433
210	0.2151140088
211	0.215085684
212	0.2150529424
213	0.2150023829
214	0.2149621931
215	0.2149223189
216	0.2148813061
217	0.2148194167
218	0.2147826973
219	0.2147523561
220	0.2147046771
221	0.2146687258
222	0.2146357921
223	0.2145980851
224	0.2145743142
225	0.2145256476
226	0.2145043182
227	0.2144624002
228	0.214422183
229	0.2143759991
230	0.2143447526
231	0.2143138216
232	0.2142779389
233	0.2142490928
234	0.2142127575
235	0.2141806194
236	0.2141423089
237	0.2141164256
238	0.214079953
239	0.2140517654
240	0.214017172
241	0.2139829216
242	0.2139602068
243	0.2139208401
244	0.2138883317
245	0.2138544928
246	0.2138148791
247	0.2137796685
248	0.2137497114
249	0.2137278471
250	0.2136990147
251	0.2136832269
252	0.2136358222
253	0.2135971276
254	0.2135646192
255	0.2135395314
256	0.2135040739
257	0.2134626497
258	0.2134314581
259	0.2134075226
260	0.213368101
261	0.2133572374
262	0.2133156486
263	0.2132777907
264	0.2132564476
265	0.2132240626
266	0.213186822
267	0.21314703
268	0.2131152486
269	0.2130835494
270	0.2130439358
271	0.2130104261
272	0.2129852012
273	0.2129628294
274	0.2129321727
275	0.2129015023
276	0.2128747137
277	0.2128359094
278	0.2128170627
279	0.2128052938
280	0.2127782035
281	0.2127421013
282	0.2127049155
283	0.2126813229
284	0.2126548772
285	0.2126342474
286	0.2126008337
287	0.2125802039
288	0.2125555277
289	0.212523033
290	0.2124879184
291	0.2124614179
292	0.2124408018
293	0.2124153711
294	0.212388802
295	0.2123639475
296	0.2123462804
297	0.212313772
298	0.2122829919
299	0.2122635966
300	0.2122499211
301	0.2122188255
302	0.2121952192
303	0.2121554135
304	0.2121184197
305	0.2120888741
306	0.2120733469
307	0.2120527582
308	0.212009057
309	0.2119817198
310	0.2119658496
311	0.211932285
312	0.2119069916
313	0.2118822056
314	0.211852948
315	0.2118126623
316	0.2117852427
317	0.2117604842
318	0.2117450393
319	0.2117132304
320	0.2116964138
321	0.2116656611
322	0.2116357315
323	0.2116049376
324	0.2115764345
325	0.2115455309
326	0.2115225967
327	0.2115015828
328	0.2114793756
329	0.2114544113
330	0.2114312165
331	0.2114064991
332	0.2113779136
333	0.2113509056
334	0.2113256121
335	0.2113032129
336	0.2112776039
337	0.2112496768
338	0.2112100221
339	0.2111901467
340	0.2111431672
341	0.2111133061
342	0.2110856396
343	0.2110605245
344	0.2110458751
345	0.2110214869
346	0.2109890197
347	0.2109745761
348	0.2109636713
349	0.2109342766
350	0.2109283099
351	0.2109118499
352	0.2108815087
353	0.2108547201
354	0.2108269165
355	0.210812034
356	0.2107909515
357	0.2107781539
358	0.2107585391
359	0.2107252077
360	0.210711107
361	0.2106788043
362	0.2106588878
363	0.2106373115
364	0.210622429
365	0.2106030062
366	0.210590771
367	0.2105733097
368	0.2105603886
369	0.2105273864
370	0.2104971824
371	0.2104713402
372	0.2104426999
373	0.2104208219
374	0.2104031686
375	0.2103777654
376	0.2103619501
377	0.2103279191
378	0.2102897458
379	0.2102782238
380	0.2102552347
381	0.2102259223
382	0.210199943
383	0.2101670505
384	0.2101412769
385	0.2101059292
386	0.2100795521
387	0.2100633665
388	0.2100504865
389	0.2100289377
390	0.2099854697
391	0.2099574192
392	0.2099295607
393	0.2099040615
394	0.2098797282
395	0.2098506352
396	0.2098229139
397	0.2097924081
398	0.2097685823
399	0.2097487618
400	0.209724017
401	0.2096991761
402	0.2096865431
403	0.2096580537
404	0.2096366695
405	0.2096038044
406	0.2095796083
407	0.2095459614
408	0.2095253727
409	0.209523082
410	0.2094914652
411	0.2094488888
412	0.2094197272
413	0.2093884944
414	0.2093650938
415	0.2093461923
416	0.2093090614
417	0.2092887745
418	0.209262466
419	0.2092453614
420	0.2092201365
421	0.2091942806
422	0.209178095
423	0.2091572594
424	0.2091359026
425	0.2091023518
426	0.2090835051
427	0.2090563325
428	0.2090390358
429	0.2090079539
430	0.2089747185
431	0.2089522506
432	0.2089364491
433	0.2089084397
434	0.2088879608
435	0.2088716654
436	0.2088509945
437	0.2088280877
438	0.2087974173
439	0.2087749769
440	0.2087524816
441	0.208725309
442	0.2086858874
443	0.2086599629
444	0.2086379614
445	0.2086192931
446	0.2085991845
447	0.2085855776
448	0.2085565395
449	0.2085331527
450	0.2085069676
451	0.2084764207
452	0.2084640894
453	0.2084608249
454	0.2084398521
455	0.2084320062
456	0.2084043123
457	0.2083859183
458	0.2083660704
459	0.2083433831
460	0.2083173489
461	0.2082840312
462	0.208256447
463	0.2082230745
464	0.2081983845
465	0.2081701694
466	0.2081466042
467	0.2081203369
468	0.2081079508
469	0.2080821909
470	0.2080534409
471	0.2080240461
472	0.2080043079
473	0.2079943496
474	0.2079734318
475	0.207940553
476	0.2079181674
477	0.2078820653
478	0.2078609005
479	0.2078473073
480	0.2078451538
481	0.2078307376
482	0.2078184612
483	0.2077956779
484	0.2077735804
485	0.2077567638
486	0.2077443914
487	0.2077152162
488	0.2076945178
489	0.2076611452
490	0.2076465918
491	0.2076317779
492	0.2076101605
493	0.2075930695
494	0.207577268
495	0.2075412893
496	0.2075201382
497	0.2074870537
498	0.2074780144
499	0.2074506772
500	0.2074273178
501	0.2074021752
502	0.2073715185
503	0.2073649482
504	0.207360943
505	0.207337611
506	0.2073097525
507	0.2072883271
508	0.20728199
509	0.2072554209
510	0.207235765
511	0.2072046557
512	0.2071879077
513	0.2071628748
514	0.2071325473
515	0.2071087215
516	0.2070806985
517	0.207056228
518	0.2070376145
519	0.2070134321
520	0.2069829675
521	0.206955109
522	0.2069404459
523	0.206927566
524	0.2069230532
525	0.2068889399
526	0.2068756348
527	0.2068556222
528	0.2068304385
529	0.2068277226
530	0.206800934
531	0.2067792617
532	0.2067573563
533	0.2067397578
534	0.206730746
535	0.2067069065
536	0.206675756
537	0.2066401751
538	0.2066237563
539	0.2066040729
540	0.2065856103
541	0.206555132
542	0.2065331168
543	0.2065021035
544	0.2064797728
545	0.2064679902
546	0.2064640947
547	0.2064595819
548	0.2064407764
549	0.2064367026
550	0.2064179108
551	0.2064075136
552	0.206386047
553	0.2063604655
554	0.2063269832
555	0.206300565
556	0.206284009
557	0.2062640513
558	0.2062297323
559	0.2062061123
560	0.2061865112
561	0.2061609022
562	0.2061482418
563	0.2061272828
564	0.206098519
565	0.206081771
566	0.2060572731
567	0.2060287013
568	0.2060178515
569	0.2059867147
570	0.2059643841
571	0.2059503657
572	0.2059266359
573	0.2059053339
574	0.2058623186
575	0.2058460507
576	0.2058271629
577	0.2057997845
578	0.2057821723
579	0.2057523386
580	0.205721339
581	0.2057048791
582	0.2056818489
583	0.2056621106
584	0.2056335937
585	0.2056220032
586	0.2056136223
587	0.2055995491
588	0.2055878213
589	0.2055554227
590	0.2055422547
591	0.205512421
592	0.2054861674
593	0.205482409
594	0.2054586655
595	0.2054460051
596	0.205425581
597	0.2054012614
598	0.2053709614
599	0.2053579169
600	0.2053446255
601	0.20531759
602	0.2053114586
603	0.2052831338
604	0.2052677163
605	0.2052344809
606	0.2052182953
607	0.2052056485
608	0.2051845935
609	0.2051536351
610	0.2051273128
611	0.2050983159
612	0.205076479
613	0.2050628995
614	0.2050364264
615	0.2050064556
616	0.2049768688
617	0.2049595173
618	0.2049374609
