column,dtype,missing_count,missing_rate,unique_count,sample_1,sample_2,sample_3
win_gate_pass,bool,0,0.0,2,False,False,False
win_gate_rank,float64,0,0.0,18,5.0,2.0,6.0
win_gate_score_gap,float64,0,0.0,1429,1.2753157371629298,0.8390128888303823,1.3192190217968685
runner_up_gate_score,float64,0,0.0,65,0.6505496200417091,0.6505496200417091,0.6505496200417091
runner_up_gate_score_gap,float64,0,0.0,199,0.8390128888303823,0.8390128888303823,0.8390128888303823
runner_up_win_selection_prob,float64,0,0.0,3327,0.19754891187553295,0.19754891187553295,0.19754891187553295
runner_up_win_selection_edge,float64,0,0.0,3327,-0.3773398535390162,-0.3773398535390162,-0.3773398535390162
runner_up_tanodds,float64,0,0.0,625,3.7,3.7,3.7
market_condition_score,float64,0,0.0,3244,0.35403788227113686,0.35403788227113686,0.35403788227113686
aggressive_strength,float64,0,0.0,853,0.0,0.0,0.0
aggressive_tier,object,0,0.0,2,weak,weak,weak
ev_place_corrected,float64,0,0.0,1,0.0,0.0,0.0
EV_lower_win_corrected,float64,0,0.0,10987,0.3269407356385825,0.323127873535482,0.12238675967815332
EV_upper_win_corrected,float64,0,0.0,35549,2.192779072595503,1.884495256124677,0.5666752874317652
conformal_confidence_score,float64,0,0.0,40138,0.028019210277791848,0.08956813586373186,0.14791218126146574
EV_lower_place,float64,0,0.0,1,0.0,0.0,0.0
kakuteijyuni,int64,0,0.0,18,3,2,6
confirmed_odds,float64,0,0.0,4483,30.4,2.9,85.8
win_selection_ev_raw,float64,0,0.0,45437,0.5991436661876901,0.6226601464609838,0.45831229614897157
win_selection_edge_raw,float64,0,0.0,45416,-0.4008563338123099,-0.3773398535390162,-0.5416877038510284
win_selection_ev_tail_calibrated,float64,0,0.0,45437,0.5991436661876901,0.6226601464609838,0.45831229614897157
selected_rank_by_p_win_final,float64,0,0.0,18,5.0,2.0,7.0
selected_rank_by_win_selection_ev,float64,0,0.0,18,5.0,3.0,6.0
excluded_reason,object,3541,7.79,18,negative_or_zero_edge|low_probability,negative_or_zero_edge,negative_or_zero_edge|low_probability
filter_pass_flags,object,0,0.0,18,edge=False;odds=True;odds_tail=True;ev_tail=True;prob_rank=True;prob_floor=False,edge=False;odds=True;odds_tail=True;ev_tail=True;prob_rank=True;prob_floor=True,edge=False;odds=True;odds_tail=True;ev_tail=True;prob_rank=True;prob_floor=False
candidate_count_before_filter,int64,0,0.0,12,0,0,0
candidate_count_after_filter,int64,0,0.0,6,0,0,0
is_actual_bet,bool,0,0.0,2,False,False,False
stake,float64,43207,95.09,2,100.0,100.0,100.0
result,float64,43207,95.09,116,0.0,0.0,0.0
final_odds,float64,43207,95.09,270,3.9,7.3,7.6
