feature,importance
position_gain_3_mean,0
position_gain_3_min,0
position_gain_3_max,0
position_gain_5_mean,0
position_gain_5_max,0
odds_10_mean,0
position_gain_10_mean,0
position_gain_10_min,0
position_gain_10_max,0
position_gain_100_mean,0
position_gain_100_min,0
position_gain_100_max,0
odds_3_mean,0
odds_3_std,0
odds_3_min,0
odds_3_max,0
odds_5_mean,0
odds_5_std,0
odds_5_min,0
odds_5_max,0
condition_surface_target_enc,0
